from_stop_id,to_stop_id,transfer_type,min_transfer_time
5478281,1919,2,281
2102,4016361,2,211
4614395,2481,2,201
5675641,2211,2,216
5478355,2024,2,215
2545,4008385,2,206
1166831,1956,2,900
4798790,2024,2,226
5761374,1713,2,322
6187508,2368,2,273
4614484,2532,2,322
4996974,2211,2,205
4028877,2129,2,205
5231528,1636,2,198
4022916,2238,2,220
2211,3764979,2,198
2207,1956,2,800
3663656,2481,2,234
4022898,2084,2,218
2206,1956,2,800
4036223,1838,2,298
4024791,1913,2,210
4614253,2532,2,249
1829,4025355,2,216
2370,4473166,2,317
4723846,1671,2,282
4028775,2305,2,298
4024197,2238,2,192
3716926,1956,2,207
4472658,1913,2,199
4726918,2053,2,211
5231693,2516,2,198
2302,3748067,2,199
2102,3893340,2,192
2302,3748066,2,188
3619474,2300,2,205
2198,3690460,2,207
2458,4024599,2,228
4037172,1835,2,277
4472700,2238,2,220
3877805,2458,2,216
2499,3685897,2,223
2458,4024592,2,246
5478457,2244,2,281
4023962,1913,2,198
2458,4024593,2,228
2499,3685896,2,258
2102,3811232,2,217
6401893,1689,2,305
4024086,2370,2,230
3639716,1840,2,303
2224141,2102,2,218
4614500,1840,2,205
4557338,2499,2,305
4024110,1913,2,220
4614234,2010,2,205
4745079,2307,2,207
5775569,1913,2,192
3619404,1904,2,197
2314,2053,2,300
4199369,2499,2,190
2211,4035989,2,207
1943,3685880,2,197
1943,3685881,2,207
1830,4024926,2,317
2211,4035988,2,216
1830,4024925,2,334
5675642,1956,2,189
6187699,1829,2,184
2198,3690487,2,207
3716966,1956,2,207
4025045,2458,2,229
3765192,2053,2,211
2053,3893339,2,211
2302,3748086,2,202
2302,3748085,2,277
4024345,2238,2,220
4024259,1913,2,203
2302,3748084,2,269
4023815,2523,2,316
5688959,1835,2,277
5231693,1636,2,198
1943,3690381,2,207
4024377,1831,2,258
2102,3893339,2,211
4024821,1913,2,220
4024089,2370,2,290
3813137,2084,2,261
1829,4025386,2,219
3683453,1689,2,296
6187661,1829,2,266
4614395,1671,2,201
4146116,1835,2,269
2211,3764980,2,263
2481,3730101,2,243
2211,4035992,2,195
2481,3730102,2,188
2211,4035990,2,189
2211,4035991,2,263
5151257,1913,2,220
4036205,1956,2,263
3708146,2010,2,209
4024087,1831,2,183
5675601,2490,2,213
2117,2211,2,900
2274,4023515,2,216
5478432,1671,2,297
2307,3681580,2,198
4614253,1652,2,249
2307,3681582,2,204
4614396,2481,2,234
2307,3681581,2,191
3765149,2102,2,279
3682833,2304,2,236
2274,4023516,2,216
2307,3681584,2,303
2307,3681583,2,202
4037767,2545,2,233
2307,3681585,2,321
3677740,2306,2,207
1689,3690419,2,193
3619837,1904,2,248
4037766,2084,2,198
1689,3690417,2,297
4726747,2545,2,259
1689,3690418,2,324
3681447,2516,2,237
3682941,1837,2,249
5657318,1835,2,269
4614555,1652,2,249
2211,1955,2,231
2053,2286,2,250
3639717,2307,2,321
2010,3682633,2,193
2053,3893340,2,192
2010,3682634,2,193
5675601,1680,2,213
6187661,2368,2,266
4028811,2129,2,205
